Simulation ID-3932
===================

1) General info 
-------------------
Simulation type: SIR
Thread ID: 6

2) Initial populations 
-------------------
Susceptible: 129
Infected: 3
Recovered: 0

3) Initial parameters 
-------------------
Mortality rate (m): 0.00166423
Infected mortality rate (v): 0.0207643
Recovery rate (r): 0.187872
Incubation period (I): 0.162586
Infection rate (b): 0.539701

4) Active events 
-------------------
Vaccination

5) Simulation report 
-------------------

| Time  | Susceptible | Infected | Recovered | Total Population | ||| | Births | Deaths - Susceptible | Deaths - Infected | Deaths - Recovered | Deaths - Due To Infection | Deaths - Total | 
|2.194  |45           |29        |51         |125               | ||| |2       |4                     |1                  |0                   |4                          |9               |
|2.206  |45           |28        |52         |125               | ||| |2       |4                     |1                  |0                   |4                          |9               |
|2.218  |45           |27        |53         |125               | ||| |2       |4                     |1                  |0                   |4                          |9               |
|2.231  |45           |26        |54         |125               | ||| |2       |4                     |1                  |0                   |4                          |9               |
|2.245  |44           |27        |54         |125               | ||| |2       |4                     |1                  |0                   |4                          |9               |
|2.258  |43           |28        |54         |125               | ||| |2       |4                     |1                  |0                   |4                          |9               |
|2.270  |42           |29        |54         |125               | ||| |2       |4                     |1                  |0                   |4                          |9               |
|2.283  |41           |30        |54         |125               | ||| |2       |4                     |1                  |0                   |4                          |9               |
|2.295  |40           |31        |54         |125               | ||| |2       |4                     |1                  |0                   |4                          |9               |
|2.307  |39           |32        |54         |125               | ||| |2       |4                     |1                  |0                   |4                          |9               |
|2.318  |38           |33        |54         |125               | ||| |2       |4                     |1                  |0                   |4                          |9               |
|2.330  |37           |34        |54         |125               | ||| |2       |4                     |1                  |0                   |4                          |9               |
|2.341  |38           |34        |54         |126               | ||| |3       |4                     |1                  |0                   |4                          |9               |
|2.352  |37           |35        |54         |126               | ||| |3       |4                     |1                  |0                   |4                          |9               |
|2.363  |37           |34        |55         |126               | ||| |3       |4                     |1                  |0                   |4                          |9               |
|2.374  |37           |33        |55         |125               | ||| |3       |4                     |1                  |0                   |5                          |10              |
|2.386  |37           |32        |56         |125               | ||| |3       |4                     |1                  |0                   |5                          |10              |
|2.398  |36           |33        |56         |125               | ||| |3       |4                     |1                  |0                   |5                          |10              |
|2.410  |36           |32        |57         |125               | ||| |3       |4                     |1                  |0                   |5                          |10              |
|2.422  |35           |33        |57         |125               | ||| |3       |4                     |1                  |0                   |5                          |10              |
|2.434  |34           |34        |57         |125               | ||| |3       |4                     |1                  |0                   |5                          |10              |
|2.445  |33           |35        |57         |125               | ||| |3       |4                     |1                  |0                   |5                          |10              |
